x,pollutant_concentration,oxygen_concentration
23.3,0.123493,11.6939
23.4,0.121451,11.6982
23.5,0.119444,11.7025
23.6,0.11747,11.7067
23.7,0.115528,11.7109
23.8,0.113619,11.715
23.9,0.111741,11.719
24,0.109894,11.723
24.1,0.108077,11.7269
24.2,0.106291,11.7308
24.3,0.104534,11.7347
24.4,0.102806,11.7384
24.5,0.101107,11.7422
24.6,0.0994361,11.7459
24.7,0.0977925,11.7495
24.8,0.0961762,11.7531
24.9,0.0945865,11.7566
25,0.0930231,11.7601
25.1,0.0914856,11.7636
25.2,0.0899735,11.767
25.3,0.0884863,11.7703
25.4,0.0870238,11.7736
25.5,0.0855854,11.7769
25.6,0.0841708,11.7801
25.7,0.0827796,11.7833
25.8,0.0814114,11.7864
25.9,0.0800657,11.7895
26,0.0787424,11.7926
26.1,0.0774409,11.7956
26.2,0.0761609,11.7986
26.3,0.0749021,11.8015
26.4,0.073664,11.8044
26.5,0.0724465,11.8072
26.6,0.071249,11.81
26.7,0.0700714,11.8128
26.8,0.0689132,11.8155
26.9,0.0677742,11.8182
27,0.066654,11.8209
27.1,0.0655523,11.8235
27.2,0.0644688,11.8261
27.3,0.0634032,11.8286
27.4,0.0623553,11.8312
27.5,0.0613246,11.8336
27.6,0.060311,11.8361
27.7,0.0593142,11.8385
27.8,0.0583338,11.8409
27.9,0.0573696,11.8432
28,0.0564214,11.8455
28.1,0.0554888,11.8478
28.2,0.0545717,11.85
28.3,0.0536697,11.8523
28.4,0.0527826,11.8544
28.5,0.0519102,11.8566
28.6,0.0510522,11.8587
28.7,0.0502084,11.8608
28.8,0.0493785,11.8629
28.9,0.0485623,11.8649
29,0.0477597,11.8669
29.1,0.0469703,11.8689
29.2,0.0461939,11.8708
29.3,0.0454304,11.8728
29.4,0.0446795,11.8746
29.5,0.043941,11.8765
29.6,0.0432147,11.8784
29.7,0.0425005,11.8802
29.8,0.041798,11.882
29.9,0.0411071,11.8837
30,0.0404277,11.8855
30.1,0.0397595,11.8872
30.2,0.0391023,11.8889
30.3,0.038456,11.8905
30.4,0.0378204,11.8922
30.5,0.0371953,11.8938
30.6,0.0365805,11.8954
30.7,0.0359759,11.8969
30.8,0.0353812,11.8985
30.9,0.0347964,11.9
31,0.0342213,11.9015
31.1,0.0336557,11.903
31.2,0.0330994,11.9045
31.3,0.0325523,11.9059
31.4,0.0320143,11.9073
31.5,0.0314851,11.9087
31.6,0.0309647,11.9101
31.7,0.0304529,11.9114
31.8,0.0299496,11.9128
31.9,0.0294545,11.9141
32,0.0289677,11.9154
32.1,0.0284889,11.9167
32.2,0.028018,11.9179
32.3,0.0275549,11.9192
32.4,0.0270995,11.9204
32.5,0.0266516,11.9216
32.6,0.0262111,11.9228
32.7,0.0257778,11.924
32.8,0.0253518,11.9251
32.9,0.0249327,11.9263
33,0.0245206,11.9274
33.1,0.0241153,11.9285
33.2,0.0237167,11.9296
33.3,0.0233247,11.9307
33.4,0.0229392,11.9317
33.5,0.0225601,11.9327
33.6,0.0221872,11.9338
33.7,0.0218205,11.9348
33.8,0.0214598,11.9358
33.9,0.0211051,11.9368
34,0.0207563,11.9377
34.1,0.0204132,11.9387
34.2,0.0200758,11.9396
34.3,0.019744,11.9405
34.4,0.0194176,11.9414
34.5,0.0190967,11.9423
34.6,0.018781,11.9432
34.7,0.0184706,11.9441
34.8,0.0181653,11.945
34.9,0.0178651,11.9458
35,0.0175698,11.9466
35.1,0.0172794,11.9474
35.2,0.0169938,11.9483
35.3,0.0167129,11.949
35.4,0.0164367,11.9498
35.5,0.016165,11.9506
35.6,0.0158978,11.9514
35.7,0.015635,11.9521
35.8,0.0153766,11.9528
35.9,0.0151225,11.9536
36,0.0148725,11.9543
36.1,0.0146267,11.955
36.2,0.0143849,11.9557
36.3,0.0141472,11.9564
36.4,0.0139133,11.957
36.5,0.0136834,11.9577
36.6,0.0134572,11.9584
36.7,0.0132348,11.959
36.8,0.013016,11.9596
36.9,0.0128009,11.9603
37,0.0125893,11.9609
37.1,0.0123812,11.9615
37.2,0.0121766,11.9621
37.3,0.0119753,11.9627
37.4,0.0117774,11.9632
37.5,0.0115827,11.9638
37.6,0.0113913,11.9644
37.7,0.011203,11.9649
37.8,0.0110178,11.9655
37.9,0.0108357,11.966
38,0.0106566,11.9665
38.1,0.0104805,11.9671
38.2,0.0103073,11.9676
38.3,0.0101369,11.9681
38.4,0.00996934,11.9686
38.5,0.00980456,11.9691
38.6,0.00964251,11.9695
38.7,0.00948313,11.97
38.8,0.00932639,11.9705
38.9,0.00917224,11.9709
39,0.00902064,11.9714
39.1,0.00887154,11.9718
39.2,0.0087249,11.9723
39.3,0.00858069,11.9727
39.4,0.00843887,11.9731
39.5,0.00829938,11.9735
39.6,0.00816221,11.974
39.7,0.0080273,11.9744
39.8,0.00789462,11.9748
