x,pollutant_concentration,oxygen_concentration
30.5,0.236795,9.77487
30.6,0.234438,9.777
30.7,0.232106,9.77912
30.8,0.229796,9.78122
30.9,0.22751,9.78329
31,0.225246,9.78535
31.1,0.223005,9.78739
31.2,0.220786,9.78942
31.3,0.218589,9.79142
31.4,0.216414,9.7934
31.5,0.214261,9.79537
31.6,0.212129,9.79732
31.7,0.210018,9.79925
31.8,0.207928,9.80117
31.9,0.205859,9.80307
32,0.203811,9.80495
32.1,0.201783,9.80681
32.2,0.199775,9.80866
32.3,0.197787,9.81049
32.4,0.195819,9.8123
32.5,0.193871,9.81409
32.6,0.191942,9.81587
32.7,0.190032,9.81764
32.8,0.188141,9.81938
32.9,0.186269,9.82111
33,0.184416,9.82283
33.1,0.182581,9.82453
33.2,0.180764,9.82621
33.3,0.178966,9.82788
33.4,0.177185,9.82953
33.5,0.175422,9.83117
33.6,0.173676,9.83279
33.7,0.171948,9.8344
33.8,0.170237,9.83599
33.9,0.168543,9.83757
34,0.166866,9.83913
34.1,0.165206,9.84068
34.2,0.163562,9.84222
34.3,0.161935,9.84374
34.4,0.160323,9.84524
34.5,0.158728,9.84673
34.6,0.157149,9.84821
34.7,0.155585,9.84968
34.8,0.154037,9.85113
34.9,0.152504,9.85256
35,0.150987,9.85399
35.1,0.149485,9.8554
35.2,0.147997,9.8568
35.3,0.146525,9.85818
35.4,0.145067,9.85955
35.5,0.143623,9.86091
35.6,0.142194,9.86225
35.7,0.140779,9.86359
35.8,0.139378,9.86491
35.9,0.137992,9.86622
36,0.136619,9.86751
36.1,0.135259,9.8688
36.2,0.133913,9.87007
36.3,0.132581,9.87133
36.4,0.131262,9.87257
36.5,0.129956,9.87381
36.6,0.128663,9.87503
36.7,0.127382,9.87625
36.8,0.126115,9.87745
36.9,0.12486,9.87864
37,0.123618,9.87982
37.1,0.122388,9.88098
37.2,0.12117,9.88214
37.3,0.119964,9.88329
37.4,0.118771,9.88442
37.5,0.117589,9.88554
37.6,0.116419,9.88666
37.7,0.11526,9.88776
37.8,0.114113,9.88885
37.9,0.112978,9.88993
38,0.111854,9.89101
38.1,0.110741,9.89207
38.2,0.109639,9.89312
38.3,0.108548,9.89416
38.4,0.107468,9.89519
38.5,0.106399,9.89621
38.6,0.10534,9.89722
38.7,0.104292,9.89823
38.8,0.103254,9.89922
38.9,0.102227,9.9002
39,0.10121,9.90118
39.1,0.100203,9.90214
39.2,0.0992055,9.9031
39.3,0.0982184,9.90404
39.4,0.0972411,9.90498
39.5,0.0962735,9.90591
39.6,0.0953156,9.90683
39.7,0.0943672,9.90774
39.8,0.0934282,9.90864
39.9,0.0924986,9.90953
40,0.0915782,9.91041
40.1,0.090667,9.91129
40.2,0.0897648,9.91216
40.3,0.0888716,9.91302
40.4,0.0879874,9.91387
40.5,0.0871119,9.91471
40.6,0.0862451,9.91555
40.7,0.0853869,9.91637
40.8,0.0845373,9.91719
40.9,0.0836962,9.918
41,0.0828634,9.9188
41.1,0.0820389,9.9196
41.2,0.0812226,9.92039
41.3,0.0804144,9.92117
41.4,0.0796143,9.92194
41.5,0.0788221,9.92271
41.6,0.0780378,9.92346
41.7,0.0772613,9.92421
41.8,0.0764925,9.92496
41.9,0.0757314,9.92569
42,0.0749779,9.92642
42.1,0.0742318,9.92714
42.2,0.0734932,9.92786
42.3,0.072762,9.92857
42.4,0.072038,9.92927
42.5,0.0713212,9.92996
42.6,0.0706115,9.93065
42.7,0.0699089,9.93133
42.8,0.0692133,9.932
42.9,0.0685246,9.93267
43,0.0678428,9.93333
43.1,0.0671677,9.93399
43.2,0.0664994,9.93464
43.3,0.0658377,9.93528
43.4,0.0651826,9.93591
43.5,0.0645341,9.93654
43.6,0.0638919,9.93717
43.7,0.0632562,9.93779
43.8,0.0626268,9.9384
43.9,0.0620036,9.939
44,0.0613867,9.9396
44.1,0.0607759,9.9402
44.2,0.0601712,9.94079
44.3,0.0595724,9.94137
44.4,0.0589797,9.94195
44.5,0.0583928,9.94252
44.6,0.0578118,9.94308
44.7,0.0572366,9.94364
44.8,0.0566671,9.9442
44.9,0.0561032,9.94475
45,0.055545,9.94529
45.1,0.0549923,9.94583
45.2,0.0544451,9.94636
45.3,0.0539034,9.94689
45.4,0.053367,9.94741
45.5,0.052836,9.94793
45.6,0.0523103,9.94845
45.7,0.0517898,9.94895
45.8,0.0512745,9.94946
45.9,0.0507643,9.94995
46,0.0502592,9.95045
46.1,0.0497591,9.95094
46.2,0.049264,9.95142
46.3,0.0487738,9.9519
46.4,0.0482885,9.95237
46.5,0.047808,9.95284
46.6,0.0473323,9.95331
46.7,0.0468613,9.95377
46.8,0.0463951,9.95422
46.9,0.0459334,9.95468
47,0.0454764,9.95512
47.1,0.0450239,9.95557
47.2,0.0445759,9.956
47.3,0.0441324,9.95644
47.4,0.0436932,9.95687
47.5,0.0432585,9.95729
47.6,0.042828,9.95772
47.7,0.0424019,9.95813
47.8,0.04198,9.95855
47.9,0.0415623,9.95896
48,0.0411487,9.95936
48.1,0.0407393,9.95976
48.2,0.0403339,9.96016
48.3,0.0399326,9.96055
48.4,0.0395353,9.96094
48.5,0.0391419,9.96133
48.6,0.0387524,9.96171
48.7,0.0383668,9.96209
48.8,0.0379851,9.96246
48.9,0.0376071,9.96283
49,0.0372329,9.9632
49.1,0.0368624,9.96357
49.2,0.0364957,9.96393
49.3,0.0361325,9.96428
49.4,0.035773,9.96463
49.5,0.035417,9.96498
49.6,0.0350646,9.96533
49.7,0.0347157,9.96567
49.8,0.0343703,9.96601
49.9,0.0340283,9.96635
50,0.0336897,9.96668
50.1,0.0333545,9.96701
50.2,0.0330226,9.96734
50.3,0.0326941,9.96766
50.4,0.0323687,9.96798
50.5,0.0320467,9.9683
50.6,0.0317278,9.96861
50.7,0.0314121,9.96892
50.8,0.0310995,9.96923
50.9,0.0307901,9.96953
51,0.0304837,9.96983
51.1,0.0301804,9.97013
51.2,0.0298801,9.97043
51.3,0.0295828,9.97072
51.4,0.0292884,9.97101
51.5,0.028997,9.9713
51.6,0.0287085,9.97158
51.7,0.0284228,9.97186
51.8,0.02814,9.97214
51.9,0.02786,9.97242
52,0.0275828,9.97269
52.1,0.0273084,9.97296
52.2,0.0270366,9.97323
52.3,0.0267676,9.97349
52.4,0.0265013,9.97376
52.5,0.0262376,9.97402
52.6,0.0259765,9.97427
52.7,0.0257181,9.97453
52.8,0.0254622,9.97478
52.9,0.0252088,9.97503
53,0.024958,9.97528
53.1,0.0247096,9.97552
53.2,0.0244638,9.97576
53.3,0.0242204,9.976
53.4,0.0239794,9.97624
53.5,0.0237408,9.97648
53.6,0.0235045,9.97671
53.7,0.0232707,9.97694
53.8,0.0230391,9.97717
53.9,0.0228099,9.9774
54,0.0225829,9.97762
54.1,0.0223582,9.97784
54.2,0.0221357,9.97806
54.3,0.0219155,9.97828
54.4,0.0216974,9.97849
54.5,0.0214815,9.97871
54.6,0.0212678,9.97892
54.7,0.0210562,9.97913
54.8,0.0208466,9.97933
54.9,0.0206392,9.97954
55,0.0204339,9.97974
55.1,0.0202305,9.97994
55.2,0.0200292,9.98014
55.3,0.0198299,9.98034
55.4,0.0196326,9.98053
55.5,0.0194373,9.98073
55.6,0.0192439,9.98092
55.7,0.0190524,9.98111
55.8,0.0188628,9.98129
55.9,0.0186751,9.98148
56,0.0184893,9.98166
56.1,0.0183053,9.98184
56.2,0.0181232,9.98202
56.3,0.0179429,9.9822
56.4,0.0177643,9.98238
56.5,0.0175876,9.98255
56.6,0.0174126,9.98273
56.7,0.0172393,9.9829
56.8,0.0170678,9.98307
56.9,0.016898,9.98324
57,0.0167298,9.9834
57.1,0.0165634,9.98357
57.2,0.0163986,9.98373
57.3,0.0162354,9.98389
57.4,0.0160738,9.98405
57.5,0.0159139,9.98421
57.6,0.0157556,9.98437
57.7,0.0155988,9.98452
57.8,0.0154436,9.98468
57.9,0.0152899,9.98483
58,0.0151378,9.98498
58.1,0.0149872,9.98513
58.2,0.014838,9.98527
58.3,0.0146904,9.98542
58.4,0.0145442,9.98557
58.5,0.0143995,9.98571
58.6,0.0142562,9.98585
58.7,0.0141144,9.98599
58.8,0.0139739,9.98613
58.9,0.0138349,9.98627
59,0.0136972,9.9864
59.1,0.0135609,9.98654
59.2,0.013426,9.98667
59.3,0.0132924,9.9868
59.4,0.0131601,9.98694
59.5,0.0130292,9.98707
59.6,0.0128996,9.98719
59.7,0.0127712,9.98732
59.8,0.0126441,9.98745
59.9,0.0125183,9.98757
60,0.0123938,9.98769
60.1,0.0122704,9.98782
60.2,0.0121483,9.98794
60.3,0.0120275,9.98806
60.4,0.0119078,9.98818
60.5,0.0117893,9.98829
60.6,0.011672,9.98841
60.7,0.0115559,9.98852
60.8,0.0114409,9.98864
60.9,0.011327,9.98875
61,0.0112143,9.98886
61.1,0.0111028,9.98897
61.2,0.0109923,9.98908
61.3,0.0108829,9.98919
61.4,0.0107746,9.9893
61.5,0.0106674,9.98941
61.6,0.0105613,9.98951
61.7,0.0104562,9.98961
61.8,0.0103521,9.98972
61.9,0.0102491,9.98982
62,0.0101472,9.98992
62.1,0.0100462,9.99002
62.2,0.00994623,9.99012
62.3,0.00984726,9.99022
62.4,0.00974928,9.99032
62.5,0.00965227,9.99041
62.6,0.00955623,9.99051
62.7,0.00946114,9.9906
62.8,0.009367,9.99069
62.9,0.0092738,9.99079
63,0.00918152,9.99088
63.1,0.00909017,9.99097
63.2,0.00899972,9.99106
63.3,0.00891017,9.99115
63.4,0.00882151,9.99124
63.5,0.00873374,9.99132
63.6,0.00864683,9.99141
63.7,0.0085608,9.99149
63.8,0.00847561,9.99158
63.9,0.00839128,9.99166
64,0.00830779,9.99175
64.1,0.00822512,9.99183
64.2,0.00814328,9.99191
64.3,0.00806225,9.99199
64.4,0.00798203,9.99207
64.5,0.00790261,9.99215
64.6,0.00782398,9.99223
64.7,0.00774613,9.9923
64.8,0.00766905,9.99238
64.9,0.00759275,9.99245
65,0.0075172,9.99253
65.1,0.0074424,9.9926
65.2,0.00736835,9.99268
65.3,0.00729503,9.99275
65.4,0.00722244,9.99282
65.5,0.00715058,9.99289
65.6,0.00707943,9.99296
65.7,0.00700899,9.99303
65.8,0.00693925,9.9931
65.9,0.0068702,9.99317
66,0.00680184,9.99324
66.1,0.00673416,9.99331
66.2,0.00666715,9.99337
66.3,0.00660082,9.99344
66.4,0.00653514,9.9935
66.5,0.00647011,9.99357
66.6,0.00640573,9.99363
66.7,0.00634199,9.9937
66.8,0.00627889,9.99376
66.9,0.00621641,9.99382
67,0.00615456,9.99388
67.1,0.00609332,9.99394
67.2,0.00603269,9.994
67.3,0.00597266,9.99406
67.4,0.00591324,9.99412
67.5,0.0058544,9.99418
67.6,0.00579615,9.99424
67.7,0.00573847,9.9943
67.8,0.00568137,9.99435
67.9,0.00562484,9.99441
68,0.00556888,9.99446
68.1,0.00551346,9.99452
68.2,0.0054586,9.99457
68.3,0.00540429,9.99463
68.4,0.00535052,9.99468
68.5,0.00529728,9.99473
68.6,0.00524457,9.99479
68.7,0.00519239,9.99484
68.8,0.00514072,9.99489
68.9,0.00508957,9.99494
69,0.00503893,9.99499
69.1,0.00498879,9.99504
69.2,0.00493915,9.99509
69.3,0.00489,9.99514
69.4,0.00484135,9.99519
69.5,0.00479318,9.99523
69.6,0.00474548,9.99528
69.7,0.00469826,9.99533
69.8,0.00465152,9.99538
69.9,0.00460523,9.99542
70,0.00455941,9.99547
70.1,0.00451404,9.99551
70.2,0.00446913,9.99556
70.3,0.00442466,9.9956
70.4,0.00438063,9.99564
70.5,0.00433704,9.99569
70.6,0.00429389,9.99573
70.7,0.00425117,9.99577
70.8,0.00420887,9.99582
70.9,0.00416699,9.99586
71,0.00412552,9.9959
71.1,0.00408447,9.99594
71.2,0.00404383,9.99598
71.3,0.0040036,9.99602
71.4,0.00396376,9.99606
71.5,0.00392432,9.9961
71.6,0.00388527,9.99614
71.7,0.00384661,9.99618
71.8,0.00380834,9.99621
71.9,0.00377045,9.99625
72,0.00373293,9.99629
72.1,0.00369579,9.99632
72.2,0.00365901,9.99636
72.3,0.0036226,9.9964
72.4,0.00358656,9.99643
72.5,0.00355087,9.99647
72.6,0.00351554,9.9965
72.7,0.00348056,9.99654
72.8,0.00344593,9.99657
72.9,0.00341164,9.99661
73,0.00337769,9.99664
73.1,0.00334409,9.99667
73.2,0.00331081,9.99671
73.3,0.00327787,9.99674
73.4,0.00324525,9.99677
73.5,0.00321296,9.9968
73.6,0.00318099,9.99684
73.7,0.00314934,9.99687
73.8,0.003118,9.9969
73.9,0.00308698,9.99693
74,0.00305626,9.99696
74.1,0.00302585,9.99699
74.2,0.00299575,9.99702
74.3,0.00296594,9.99705
74.4,0.00293643,9.99708
74.5,0.00290721,9.99711
74.6,0.00287828,9.99714
74.7,0.00284964,9.99717
74.8,0.00282129,9.99719
74.9,0.00279321,9.99722
75,0.00276542,9.99725
75.1,0.00273791,9.99728
75.2,0.00271066,9.9973
75.3,0.00268369,9.99733
75.4,0.00265699,9.99736
75.5,0.00263055,9.99738
75.6,0.00260438,9.99741
75.7,0.00257846,9.99744
75.8,0.00255281,9.99746
75.9,0.00252741,9.99749
76,0.00250226,9.99751
76.1,0.00247736,9.99754
76.2,0.00245271,9.99756
76.3,0.0024283,9.99758
76.4,0.00240414,9.99761
76.5,0.00238022,9.99763
76.6,0.00235654,9.99766
76.7,0.00233309,9.99768
76.8,0.00230987,9.9977
76.9,0.00228689,9.99773
77,0.00226414,9.99775
77.1,0.00224161,9.99777
77.2,0.0022193,9.99779
77.3,0.00219722,9.99781
77.4,0.00217536,9.99784
77.5,0.00215371,9.99786
77.6,0.00213228,9.99788
77.7,0.00211107,9.9979
77.8,0.00209006,9.99792
77.9,0.00206926,9.99794
78,0.00204867,9.99796
78.1,0.00202829,9.99798
78.2,0.00200811,9.998
78.3,0.00198813,9.99802
78.4,0.00196835,9.99804
78.5,0.00194876,9.99806
78.6,0.00192937,9.99808
78.7,0.00191017,9.9981
78.8,0.00189117,9.99812
78.9,0.00187235,9.99814
79,0.00185372,9.99816
79.1,0.00183527,9.99817
79.2,0.00181701,9.99819
79.3,0.00179893,9.99821
79.4,0.00178103,9.99823
79.5,0.00176331,9.99825
79.6,0.00174577,9.99826
79.7,0.00172839,9.99828
79.8,0.0017112,9.9983
79.9,0.00169417,9.99831
80,0.00167731,9.99833
80.1,0.00166062,9.99835
80.2,0.0016441,9.99836
80.3,0.00162774,9.99838
80.4,0.00161154,9.9984
80.5,0.00159551,9.99841
80.6,0.00157963,9.99843
80.7,0.00156392,9.99844
80.8,0.00154836,9.99846
80.9,0.00153295,9.99848
81,0.0015177,9.99849
81.1,0.00150259,9.99851
81.2,0.00148764,9.99852
81.3,0.00147284,9.99853
81.4,0.00145819,9.99855
81.5,0.00144368,9.99856
81.6,0.00142931,9.99858
81.7,0.00141509,9.99859
81.8,0.00140101,9.99861
81.9,0.00138707,9.99862
82,0.00137327,9.99863
82.1,0.0013596,9.99865
82.2,0.00134608,9.99866
82.3,0.00133268,9.99867
82.4,0.00131942,9.99869
82.5,0.00130629,9.9987
82.6,0.00129329,9.99871
82.7,0.00128043,9.99873
82.8,0.00126769,9.99874
82.9,0.00125507,9.99875
83,0.00124258,9.99876
83.1,0.00123022,9.99878
83.2,0.00121798,9.99879
83.3,0.00120586,9.9988
83.4,0.00119386,9.99881
83.5,0.00118198,9.99882
83.6,0.00117022,9.99884
83.7,0.00115858,9.99885
83.8,0.00114705,9.99886
83.9,0.00113564,9.99887
84,0.00112434,9.99888
84.1,0.00111315,9.99889
84.2,0.00110207,9.9989
84.3,0.00109111,9.99891
84.4,0.00108025,9.99893
84.5,0.0010695,9.99894
84.6,0.00105886,9.99895
84.7,0.00104832,9.99896
84.8,0.00103789,9.99897
84.9,0.00102757,9.99898
85,0.00101734,9.99899
85.1,0.00100722,9.999
85.2,0.000997197,9.99901
85.3,0.000987275,9.99902
85.4,0.000977451,9.99903
85.5,0.000967725,9.99904
85.6,0.000958096,9.99905
85.7,0.000948563,9.99906
85.8,0.000939125,9.99907
85.9,0.00092978,9.99907
86,0.000920529,9.99908
86.1,0.00091137,9.99909
86.2,0.000902301,9.9991
86.3,0.000893323,9.99911
86.4,0.000884435,9.99912
86.5,0.000875634,9.99913
86.6,0.000866922,9.99914
86.7,0.000858296,9.99915
86.8,0.000849755,9.99915
86.9,0.0008413,9.99916
87,0.000832929,9.99917
87.1,0.000824641,9.99918
87.2,0.000816436,9.99919
87.3,0.000808312,9.9992
87.4,0.000800269,9.9992
87.5,0.000792307,9.99921
87.6,0.000784423,9.99922
87.7,0.000776618,9.99923
87.8,0.00076889,9.99924
87.9,0.00076124,9.99924
88,0.000753665,9.99925
88.1,0.000746166,9.99926
88.2,0.000738742,9.99927
88.3,0.000731391,9.99927
88.4,0.000724114,9.99928
88.5,0.000716909,9.99929
88.6,0.000709775,9.99929
88.7,0.000702713,9.9993
88.8,0.000695721,9.99931
88.9,0.000688798,9.99931
89,0.000681945,9.99932
89.1,0.000675159,9.99933
89.2,0.000668441,9.99933
89.3,0.00066179,9.99934
89.4,0.000655205,9.99935
89.5,0.000648686,9.99935
89.6,0.000642231,9.99936
89.7,0.000635841,9.99937
89.8,0.000629514,9.99937
89.9,0.00062325,9.99938
90,0.000617049,9.99939
90.1,0.000610909,9.99939
90.2,0.000604831,9.9994
90.3,0.000598812,9.9994
90.4,0.000592854,9.99941
90.5,0.000586955,9.99942
90.6,0.000581115,9.99942
90.7,0.000575333,9.99943
90.8,0.000569608,9.99943
90.9,0.00056394,9.99944
91,0.000558329,9.99944
91.1,0.000552774,9.99945
91.2,0.000547273,9.99946
91.3,0.000541828,9.99946
91.4,0.000536437,9.99947
91.5,0.000531099,9.99947
91.6,0.000525814,9.99948
91.7,0.000520583,9.99948
91.8,0.000515403,9.99949
91.9,0.000510274,9.99949
92,0.000505197,9.9995
92.1,0.00050017,9.9995
92.2,0.000495193,9.99951
92.3,0.000490266,9.99951
92.4,0.000485388,9.99952
92.5,0.000480558,9.99952
92.6,0.000475777,9.99953
92.7,0.000471043,9.99953
92.8,0.000466356,9.99954
92.9,0.000461715,9.99954
93,0.000457121,9.99955
93.1,0.000452573,9.99955
93.2,0.00044807,9.99955
93.3,0.000443611,9.99956
93.4,0.000439197,9.99956
93.5,0.000434827,9.99957
93.6,0.0004305,9.99957
93.7,0.000426217,9.99958
93.8,0.000421976,9.99958
93.9,0.000417777,9.99958
94,0.00041362,9.99959
94.1,0.000409505,9.99959
94.2,0.00040543,9.9996
94.3,0.000401396,9.9996
94.4,0.000397402,9.9996
94.5,0.000393448,9.99961
94.6,0.000389533,9.99961
94.7,0.000385657,9.99962
94.8,0.00038182,9.99962
94.9,0.000378021,9.99962
95,0.000374259,9.99963
95.1,0.000370535,9.99963
95.2,0.000366848,9.99963
95.3,0.000363198,9.99964
95.4,0.000359584,9.99964
95.5,0.000356006,9.99965
95.6,0.000352464,9.99965
95.7,0.000348957,9.99965
95.8,0.000345485,9.99966
95.9,0.000342047,9.99966
96,0.000338644,9.99966
96.1,0.000335274,9.99967
96.2,0.000331938,9.99967
96.3,0.000328635,9.99967
96.4,0.000325365,9.99968
96.5,0.000322128,9.99968
96.6,0.000318923,9.99968
96.7,0.000315749,9.99969
96.8,0.000312608,9.99969
96.9,0.000309497,9.99969
97,0.000306417,9.9997
97.1,0.000303369,9.9997
