x,pollutant_concentration,oxygen_concentration
0,5,10
0.1,4.95025,9.95
0.2,4.90099,9.9015
0.3,4.85223,9.85446
0.4,4.80395,9.80885
0.5,4.75615,9.76463
0.6,4.70882,9.72178
0.7,4.66197,9.68025
0.8,4.61558,9.64003
0.9,4.56966,9.60107
1,4.52419,9.56335
1.1,4.47917,9.52684
1.2,4.4346,9.49152
1.3,4.39048,9.45734
1.4,4.34679,9.42429
1.5,4.30354,9.39233
1.6,4.26072,9.36145
1.7,4.21832,9.33162
1.8,4.17635,9.3028
1.9,4.1348,9.27498
2,4.09365,9.24813
2.1,4.05292,9.22223
2.2,4.01259,9.19726
2.3,3.97267,9.17319
2.4,3.93314,9.15
2.5,3.894,9.12767
2.6,3.85526,9.10617
2.7,3.8169,9.0855
2.8,3.77892,9.06562
2.9,3.74132,9.04652
3,3.70409,9.02817
3.1,3.66723,9.01057
3.2,3.63075,8.99369
3.3,3.59462,8.9775
3.4,3.55885,8.96201
3.5,3.52344,8.94718
3.6,3.48838,8.933
3.7,3.45367,8.91946
3.8,3.41931,8.90653
3.9,3.38528,8.89421
4,3.3516,8.88247
4.1,3.31825,8.87131
4.2,3.28523,8.8607
4.3,3.25255,8.85063
4.4,3.22018,8.84109
4.5,3.18814,8.83207
4.6,3.15642,8.82355
4.7,3.12501,8.81551
4.8,3.09392,8.80795
4.9,3.06313,8.80085
5,3.03265,8.7942
5.1,3.00248,8.78799
5.2,2.9726,8.78221
5.3,2.94302,8.77684
5.4,2.91374,8.77187
5.5,2.88475,8.7673
5.6,2.85605,8.7631
5.7,2.82763,8.75928
5.8,2.79949,8.75582
5.9,2.77164,8.75271
6,2.74406,8.74994
6.1,2.71675,8.7475
6.2,2.68972,8.74538
6.3,2.66296,8.74358
6.4,2.63646,8.74207
6.5,2.61023,8.74087
6.6,2.58426,8.73995
6.7,2.55854,8.73931
6.8,2.53308,8.73894
6.9,2.50788,8.73883
7,2.48293,8.73897
7.1,2.45822,8.73936
7.2,2.43376,8.73999
7.3,2.40954,8.74085
7.4,2.38557,8.74194
7.5,2.36183,8.74325
7.6,2.33833,8.74476
7.7,2.31507,8.74649
7.8,2.29203,8.74841
7.9,2.26922,8.75052
8,2.24664,8.75281
8.1,2.22429,8.75529
8.2,2.20216,8.75794
8.3,2.18025,8.76076
8.4,2.15855,8.76374
8.5,2.13707,8.76688
8.6,2.11581,8.77018
8.7,2.09476,8.77361
8.8,2.07391,8.77719
8.9,2.05328,8.78091
9,2.03285,8.78476
9.1,2.01262,8.78874
9.2,1.9926,8.79284
9.3,1.97277,8.79705
9.4,1.95314,8.80138
9.5,1.93371,8.80583
9.6,1.91446,8.81037
9.7,1.89542,8.81502
9.8,1.87656,8.81977
9.9,1.85788,8.8246
10,1.8394,8.82953
10.1,1.82109,8.83455
10.2,1.80297,8.83965
10.3,1.78503,8.84482
10.4,1.76727,8.85008
10.5,1.74969,8.8554
10.6,1.73228,8.8608
10.7,1.71504,8.86626
10.8,1.69798,8.87178
10.9,1.68108,8.87737
11,1.66436,8.88301
11.1,1.64779,8.88871
11.2,1.6314,8.89445
11.3,1.61517,8.90025
11.4,1.5991,8.90609
11.5,1.58318,8.91198
11.6,1.56743,8.91791
11.7,1.55183,8.92388
11.8,1.53639,8.92988
11.9,1.52111,8.93592
12,1.50597,8.94199
12.1,1.49099,8.94809
12.2,1.47615,8.95422
12.3,1.46146,8.96037
12.4,1.44692,8.96655
12.5,1.43252,8.97275
12.6,1.41827,8.97897
12.7,1.40416,8.98521
12.8,1.39019,8.99146
12.9,1.37635,8.99773
13,1.36266,9.00401
13.1,1.3491,9.01031
13.2,1.33568,9.01661
13.3,1.32239,9.02292
13.4,1.30923,9.02924
13.5,1.2962,9.03556
13.6,1.2833,9.04189
13.7,1.27053,9.04822
13.8,1.25789,9.05455
13.9,1.24538,9.06088
14,1.23298,9.06721
14.1,1.22072,9.07353
14.2,1.20857,9.07985
14.3,1.19654,9.08617
14.4,1.18464,9.09248
14.5,1.17285,9.09879
14.6,1.16118,9.10508
14.7,1.14963,9.11137
14.8,1.13819,9.11765
14.9,1.12686,9.12391
15,1.11565,9.13016
15.1,1.10455,9.1364
15.2,1.09356,9.14263
15.3,1.08268,9.14884
15.4,1.07191,9.15504
15.5,1.06124,9.16122
15.6,1.05068,9.16738
15.7,1.04023,9.17353
15.8,1.02988,9.17965
15.9,1.01963,9.18576
16,1.00948,9.19185
16.1,0.999438,9.19792
16.2,0.989493,9.20397
16.3,0.979648,9.20999
16.4,0.9699,9.216
16.5,0.96025,9.22198
16.6,0.950695,9.22794
16.7,0.941235,9.23387
16.8,0.93187,9.23978
16.9,0.922598,9.24567
17,0.913418,9.25153
17.1,0.904329,9.25736
17.2,0.895331,9.26317
17.3,0.886422,9.26895
17.4,0.877602,9.27471
17.5,0.86887,9.28044
17.6,0.860224,9.28614
17.7,0.851665,9.29182
17.8,0.843191,9.29747
17.9,0.834801,9.30308
18,0.826494,9.30867
18.1,0.818271,9.31424
18.2,0.810129,9.31977
18.3,0.802068,9.32527
18.4,0.794087,9.33075
18.5,0.786186,9.33619
18.6,0.778363,9.3416
18.7,0.770618,9.34699
18.8,0.762951,9.35234
18.9,0.755359,9.35767
19,0.747843,9.36296
19.1,0.740402,9.36822
19.2,0.733035,9.37345
19.3,0.725741,9.37865
19.4,0.71852,9.38382
19.5,0.71137,9.38896
19.6,0.704292,9.39407
19.7,0.697284,9.39914
19.8,0.690346,9.40419
19.9,0.683477,9.4092
20,0.676676,9.41418
20.1,0.669943,9.41913
20.2,0.663277,9.42405
20.3,0.656678,9.42894
20.4,0.650144,9.43379
20.5,0.643675,9.43861
20.6,0.63727,9.4434
20.7,0.630929,9.44816
20.8,0.624651,9.45289
20.9,0.618436,9.45759
21,0.612282,9.46225
21.1,0.60619,9.46688
21.2,0.600158,9.47148
21.3,0.594186,9.47605
21.4,0.588274,9.48059
21.5,0.582421,9.48509
21.6,0.576626,9.48957
21.7,0.570888,9.49401
21.8,0.565208,9.49842
21.9,0.559584,9.5028
22,0.554016,9.50715
22.1,0.548503,9.51147
22.2,0.543046,9.51575
22.3,0.537642,9.52001
22.4,0.532293,9.52423
22.5,0.526996,9.52842
22.6,0.521752,9.53258
22.7,0.516561,9.53671
22.8,0.511421,9.54081
22.9,0.506332,9.54488
23,0.501294,9.54892
23.1,0.496306,9.55293
23.2,0.491368,9.55691
23.3,0.486479,9.56086
23.4,0.481638,9.56478
23.5,0.476846,9.56866
23.6,0.472101,9.57252
23.7,0.467404,9.57635
23.8,0.462753,9.58015
23.9,0.458148,9.58392
24,0.45359,9.58766
24.1,0.449076,9.59137
24.2,0.444608,9.59505
24.3,0.440184,9.59871
24.4,0.435804,9.60233
24.5,0.431468,9.60592
24.6,0.427175,9.60949
24.7,0.422924,9.61303
24.8,0.418716,9.61654
24.9,0.41455,9.62002
25,0.410425,9.62348
25.1,0.406341,9.6269
25.2,0.402298,9.6303
25.3,0.398295,9.63367
25.4,0.394332,9.63702
25.5,0.390408,9.64033
25.6,0.386524,9.64362
25.7,0.382678,9.64688
25.8,0.37887,9.65012
25.9,0.3751,9.65333
26,0.371368,9.65651
26.1,0.367673,9.65967
26.2,0.364014,9.6628
26.3,0.360392,9.6659
26.4,0.356806,9.66898
26.5,0.353256,9.67203
26.6,0.349741,9.67506
26.7,0.346261,9.67806
26.8,0.342816,9.68104
26.9,0.339405,9.68399
27,0.336028,9.68691
27.1,0.332684,9.68981
27.2,0.329374,9.69269
27.3,0.326096,9.69554
27.4,0.322852,9.69837
27.5,0.319639,9.70118
27.6,0.316459,9.70396
27.7,0.31331,9.70671
27.8,0.310193,9.70944
27.9,0.307106,9.71215
28,0.30405,9.71484
28.1,0.301025,9.7175
28.2,0.29803,9.72014
28.3,0.295064,9.72276
28.4,0.292128,9.72535
28.5,0.289222,9.72792
28.6,0.286344,9.73047
28.7,0.283495,9.733
28.8,0.280674,9.73551
28.9,0.277881,9.73799
29,0.275116,9.74045
29.1,0.272379,9.74289
29.2,0.269668,9.74531
29.3,0.266985,9.74771
29.4,0.264329,9.75008
29.5,0.261699,9.75244
29.6,0.259095,9.75477
29.7,0.256517,9.75709
29.8,0.253964,9.75938
29.9,0.251437,9.76165
30,0.248935,9.7639
30.1,0.246458,9.76614
30.2,0.244006,9.76835
30.3,0.241578,9.77054
30.4,0.239174,9.77272
